STARTDATE_EPOCH|STOPDATE_EPOCH|DURATION_MS|STARTDATE|STOPDATE|DURATION|QUERY|SCALE_FACTOR|BENCHMARK_PHASE|STREAM|SUCCESSFUL|EXIT_CODE|HAS_RESULT|HDFS_SIZE
1492858808|1492858860|52000|2017/04/22:19:00:08|2017/04/22:19:01:00|0h 0m 52s|q11|1|power_test|0|SUCCESS|0|HAS_RESULT|10
1492858875|1492858933|58000|2017/04/22:19:01:15|2017/04/22:19:02:13|0h 0m 58s|q12|1|power_test|0|SUCCESS|0|HAS_RESULT|2361
1492858948|1492859005|57000|2017/04/22:19:02:28|2017/04/22:19:03:25|0h 0m 57s|q13|1|power_test|0|SUCCESS|0|HAS_RESULT|3035
1492859020|1492859029|9000|2017/04/22:19:03:40|2017/04/22:19:03:49|0h 0m 9s|q14|1|power_test|0|FAILED|64|EMPTY|0
1492869453|1492869466|13000|2017/04/22:21:57:33|2017/04/22:21:57:46|0h 0m 13s|Load data|1|Load data|0|FAILED|64||
1492869653|1492869829|176000|2017/04/22:22:00:53|2017/04/22:22:03:49|0h 2m 56s|Load data|1|Load data|0|SUCCESS|0||
1492869843|1492869896|53000|2017/04/22:22:04:03|2017/04/22:22:04:56|0h 0m 53s|q01|1|power_test|0|SUCCESS|0|HAS_RESULT|45
1492869911|1492869974|63000|2017/04/22:22:05:11|2017/04/22:22:06:14|0h 1m 3s|q02|1|power_test|0|SUCCESS|0|HAS_RESULT|464
1492869988|1492870048|60000|2017/04/22:22:06:28|2017/04/22:22:07:28|0h 1m 0s|q03|1|power_test|0|SUCCESS|0|HAS_RESULT|1427
1492870063|1492870126|63000|2017/04/22:22:07:43|2017/04/22:22:08:46|0h 1m 3s|q06|1|power_test|0|SUCCESS|0|HAS_RESULT|6973
1492870141|1492870200|59000|2017/04/22:22:09:01|2017/04/22:22:10:00|0h 0m 59s|q07|1|power_test|0|SUCCESS|0|HAS_RESULT|70
1492870215|1492870293|78000|2017/04/22:22:10:15|2017/04/22:22:11:33|0h 1m 18s|q08|1|power_test|0|SUCCESS|0|HAS_RESULT|20
1492870308|1492870355|47000|2017/04/22:22:11:48|2017/04/22:22:12:35|0h 0m 47s|q09|1|power_test|0|SUCCESS|0|HAS_RESULT|5
1492870370|1492870523|153000|2017/04/22:22:12:50|2017/04/22:22:15:23|0h 2m 33s|q10|1|power_test|0|SUCCESS|0|HAS_RESULT|50344544
